dim,prox,end_time,n_train,tol,alpha_auc,alphas_auc_no_diag,estimation_error,estimation_error_no_diag,kendall,kendall_no_diag
30,l1,5000,30,1e-10,0.005615983154654592,0.005709901092022797,0.5832377997575245,0.5993689099899251,0.007959313180170291,0.008204992920368196
30,l1w,5000,30,1e-10,0.008012697109360294,0.0066896992742943645,0.007833830613112342,0.008282590305355738,0.007396755546965341,0.007701509325293286
30,nuclear,5000,30,1e-07,0.01009710220015423,0.010164270540610964,0.0042656408810266095,0.00432725473964093,0.012585930630594723,0.012775015125156622
30,dedicated_l1w_nuclear_1d,5000,30,1e-08,0.010177473888289278,0.010192937331892572,0.004075578574413729,0.004073762323829171,0.012383060810161836,0.01251784494789681
30,dedicated_l1_nuclear_1d,5000,30,1e-08,0.010308047704242282,0.010375194373279242,0.004380846301564506,0.004423125296018207,0.012736441162470724,0.012923420418445549
30,l1,7000,30,1e-10,0.006545646024061896,0.0070207991293192076,0.4390885868611123,0.4833982407322258,0.007887361660387764,0.007704264314648388
30,l1w,7000,30,1e-10,0.0071472551195801174,0.007699835778613039,0.00704334260071042,0.007257972021274892,0.005426927043463939,0.005594396712179046
30,nuclear,7000,30,1e-07,0.01035613693363228,0.010485149962604776,0.0035820623122051094,0.003473467880623077,0.012848541605462456,0.0126910034958078
30,dedicated_l1w_nuclear_1d,7000,30,1e-08,0.010134951898135298,0.010258835329758027,0.0037345647070914545,0.0036250605562616993,0.01275539307096268,0.012591784503454434
30,dedicated_l1_nuclear_1d,7000,30,1e-08,0.010082644053298085,0.010089587547772456,0.0035509791336568834,0.0034252618416969467,0.012641419468311231,0.012503564440615109
30,l1,10000,30,1e-10,0.005104081703724286,0.005307284035273478,0.2863433633126354,0.3129229924639736,0.007201469756887038,0.007102051044419297
30,l1w,10000,30,1e-10,0.007661131989102918,0.008753772333077024,0.01033128235501942,0.010889751194107724,0.006628115113204205,0.007372258539713929
30,nuclear,10000,30,1e-07,0.006967533369840324,0.006922989011313741,0.00246132220520057,0.0025180508661459136,0.008716352097032497,0.008712806729192037
30,dedicated_l1w_nuclear_1d,10000,30,1e-08,0.0068072651520135075,0.006733139870726474,0.0030439611019471968,0.0029992846862089287,0.008257722671432235,0.008184633133186816
30,dedicated_l1_nuclear_1d,10000,30,1e-08,0.006947477240071436,0.006905129692922629,0.002711392362632066,0.0027362185673588764,0.008939574519766444,0.008982374317264659
30,l1,15000,30,1e-10,0.006391663976816161,0.007091695568380424,0.2303150646803341,0.2467670518993544,0.007657449143873243,0.008234368391937233
30,l1w,15000,30,1e-10,0.006930508741753526,0.007406863957876064,0.00666928591876885,0.006707055079942524,0.004973316002916251,0.005477550995860864
30,nuclear,15000,30,1e-07,0.0058501973938257824,0.005724400190887537,0.002842510041375004,0.002879087742864773,0.007216210567483009,0.0072422292883208735
30,dedicated_l1w_nuclear_1d,15000,30,1e-08,0.005605234211738131,0.005422307841501052,0.0024622661644344533,0.002414900114242786,0.00704346768032948,0.007051771598131555
30,dedicated_l1_nuclear_1d,15000,30,1e-08,0.005720221883360438,0.00557989022441779,0.0029347192872184835,0.002920077013354136,0.006951434791991038,0.006966804258834619
30,l1,20000,30,1e-10,0.0049796773764607385,0.005301217629728033,0.13119109670713794,0.14132444351601653,0.007345487191579714,0.007528328064857133
30,l1w,20000,30,1e-10,0.006523237091989326,0.006971946347587378,0.010426311158132962,0.009901728558171678,0.007287641360395434,0.007576058388766026
30,nuclear,20000,30,1e-07,0.005499494843886689,0.005540899767386981,0.0020242790336812144,0.002047064742382736,0.007362919846228023,0.007334568517180185
30,dedicated_l1w_nuclear_1d,20000,30,1e-08,0.0055296077955665395,0.005559278588401522,0.0016551473650815124,0.0016107167515712153,0.006884385960595067,0.006866673866072846
30,dedicated_l1_nuclear_1d,20000,30,1e-08,0.005878564457460028,0.005935401969655501,0.0021079649436110165,0.002123775551452212,0.007528206233699141,0.007484190823835859
